Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-382551,"Transport of small molecules",85,1016,0.06500319897632757,0.9765469804760932,0.9765469804760932,179,464,0.030933333333333334,9606,Homo sapiens,"68433;16196;17126;17368;17203;15344;16235;16113;16750;16199;17562;18332;491486;113;955;176466;16359;nan;15940;16797;37657;16958;17568;17964;4208;17775;16283;17890;30805;15354;18145;17254;28822;16040;27410;33442;31463;16525;15996;16643;17898;15956;16889;17189;16891;17268;9123;15366;2495;28875;42820;71062;27747;15964;30768;17748;15600;34729;16335;3699;17864;17821;16737;16814;34846;15966;17596;17750;104011;25858;17351;48950;17474;74340;34712;16708;16828;422;15854;16347;17754;16704","","R-HSA-549129;R-HSA-8933258;R-HSA-8865667;R-HSA-429571;R-HSA-429581;R-HSA-8858252;R-HSA-8854408;R-HSA-379415;R-HSA-1562626;R-HSA-444433;R-HSA-352029;R-HSA-426015;R-HSA-164377;R-HSA-429594;R-HSA-8876696;R-HSA-917807;R-HSA-174624;R-HSA-163617;R-HSA-433698;R-HSA-8933292;R-HSA-2671885;R-HSA-379426;R-HSA-429101;R-HSA-379432;R-HSA-171059;R-HSA-8949178;R-HSA-8848053;R-HSA-265783;R-HSA-9645220;R-HSA-917814;R-HSA-8854462;R-HSA-432188;R-HSA-266303;R-HSA-8876472;R-HSA-266299;R-HSA-917839;R-HSA-392263;R-HSA-8876485;R-HSA-266310;R-HSA-174657;R-HSA-8876484;R-HSA-917835;R-HSA-432195;R-HSA-174660;R-HSA-1454928;R-HSA-5691167;R-HSA-171087;R-HSA-5671707;R-HSA-266315;R-HSA-194130;R-HSA-427605;R-HSA-5683714;R-HSA-5691150;R-HSA-429663;R-HSA-1467466;R-HSA-266328;R-HSA-171106;R-HSA-174690;R-HSA-9631987;R-HSA-9650165;R-HSA-266082;R-HSA-3295579;R-HSA-266350;R-HSA-8937442;R-HSA-432237;R-HSA-561253;R-HSA-266089;R-HSA-373867;R-HSA-174706;R-HSA-171122;R-HSA-549241;R-HSA-352119;R-HSA-373875;R-HSA-8876283;R-HSA-8866553;R-HSA-5691176;R-HSA-6813720;R-HSA-8863494;R-HSA-6784738;R-HSA-264834;R-HSA-171141;R-HSA-8866304;R-HSA-947591;R-HSA-376200;R-HSA-8980228;R-HSA-917888;R-HSA-382613;R-HSA-216723;R-HSA-8866327;R-HSA-174739;R-HSA-378513;R-HSA-264848;R-HSA-216727;R-HSA-561054;R-HSA-5229273;R-HSA-8866321;R-HSA-549279;R-HSA-174741;R-HSA-561041;R-HSA-2872497;R-HSA-5226964;R-HSA-8876312;R-HSA-174757;R-HSA-561059;R-HSA-5691131;R-HSA-8959781;R-HSA-549304;R-HSA-5691108;R-HSA-5340130;R-HSA-429749;R-HSA-422320;R-HSA-216757;R-HSA-432049;R-HSA-727740;R-HSA-216756;R-HSA-6784735;R-HSA-561072;R-HSA-6784734;R-HSA-549297;R-HSA-352191;R-HSA-375487;R-HSA-5246444;R-HSA-6784729;R-HSA-349637;R-HSA-549322;R-HSA-349638;R-HSA-2682349;R-HSA-433089;R-HSA-879562;R-HSA-1369052;R-HSA-8876366;R-HSA-432074;R-HSA-727749;R-HSA-8878664;R-HSA-936897;R-HSA-1369028;R-HSA-727768;R-HSA-109527;R-HSA-507871;R-HSA-109529;R-HSA-444126;R-HSA-507870;R-HSA-349404;R-HSA-174808;R-HSA-507869;R-HSA-879575;R-HSA-507868;R-HSA-109530;R-HSA-727767;R-HSA-434650;R-HSA-349657;R-HSA-109534;R-HSA-5682103;R-HSA-109536;R-HSA-109539;R-HSA-264678;R-HSA-5682101;R-HSA-109538;R-HSA-507875;R-HSA-435171;R-HSA-507873;R-HSA-428015;R-HSA-429036;R-HSA-879585;R-HSA-352232;R-HSA-917987;R-HSA-879584;R-HSA-176879;R-HSA-8981606;R-HSA-5682084;R-HSA-264695;R-HSA-264689;R-HSA-351987;R-HSA-9684068;R-HSA-429567;R-HSA-174587;R-HSA-939763;R-HSA-8953461;R-HSA-8981622"
R-HSA-9659379,"Sensory processing of sound",4,87,0.005566218809980806,0.977045496702412,0.977045496702412,5,13,8.666666666666666E-4,9606,Homo sapiens,"15355;15573;17409;26756","","R-HSA-9663363;R-HSA-9662096;R-HSA-9659380;R-HSA-9663785;R-HSA-9663736"
R-HSA-2022854,"Keratan sulfate biosynthesis",1,37,0.00236724248240563,0.9771283662252007,0.9771283662252007,8,9,6.0E-4,9606,Homo sapiens,"18295","","R-HSA-2046175;R-HSA-2046222;R-HSA-2025724;R-HSA-2046285;R-HSA-2046298;R-HSA-2025723;R-HSA-2046265;R-HSA-2046180"
R-HSA-389958,"Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding",1,37,0.00236724248240563,0.9771283662252007,0.9771283662252007,4,6,4.0E-4,9606,Homo sapiens,"17409","","R-HSA-390453;R-HSA-389970;R-HSA-389980;R-HSA-390459"
R-HSA-399719,"Trafficking of AMPA receptors",1,37,0.00236724248240563,0.9771283662252007,0.9771283662252007,1,4,2.666666666666667E-4,9606,Homo sapiens,"16509","","R-HSA-416320"
R-HSA-5694530,"Cargo concentration in the ER",1,37,0.00236724248240563,0.9771283662252007,0.9771283662252007,2,12,8.0E-4,9606,Homo sapiens,"17254","","R-HSA-5694445;R-HSA-5694522"
R-HSA-9833109,"Evasion by RSV of host interferon responses",1,37,0.00236724248240563,0.9771283662252007,0.9771283662252007,2,12,8.0E-4,9606,Homo sapiens,"1387","","R-HSA-9833446;R-HSA-1028817"
R-HSA-9820960,"Respiratory syncytial virus (RSV) attachment and entry",1,37,0.00236724248240563,0.9771283662252007,0.9771283662252007,1,7,4.6666666666666666E-4,9606,Homo sapiens,"28946","","R-HSA-9836468"
R-HSA-162710,"Synthesis of glycosylphosphatidylinositol (GPI)",1,37,0.00236724248240563,0.9771283662252007,0.9771283662252007,1,11,7.333333333333333E-4,9606,Homo sapiens,"15366","","R-HSA-162857"
R-HSA-5609975,"Diseases associated with glycosylation precursor biosynthesis",1,37,0.00236724248240563,0.9771283662252007,0.9771283662252007,1,15,0.001,9606,Homo sapiens,"17973","","R-HSA-5610038"
